id,timepoint,ear,frequency,min_level,max_level,manual threshold
34,0,right,5656,65,105,100.0
34,0,right,8000,65,105,95.0
34,0,right,11313,65,105,95.0
34,0,right,16000,65,105,75.0
34,0,right,22627,65,105,85.0
34,0,right,32000,65,105,90.0
34,0,right,45254,65,105,85.0
35,0,left,8000,15,80,35.0
35,1,left,8000,15,80,30.0
35,0,left,16000,15,80,30.0
35,1,left,16000,15,80,30.0
35,0,left,32000,15,80,35.0
35,1,left,32000,15,80,40.0
36,0,left,4000,15,105,55.0
36,2,left,4000,15,105,55.0
36,1,left,4000,15,105,60.0
36,0,left,5656,15,105,50.0
36,2,left,5656,15,105,60.0
36,1,left,5656,15,105,40.0
36,0,left,8000,15,105,45.0
36,2,left,8000,15,105,50.0
36,1,left,8000,15,105,35.0
36,0,left,11313,15,105,65.0
36,2,left,11313,15,105,70.0
36,1,left,11313,15,105,65.0
36,0,left,16000,15,105,75.0
36,2,left,16000,15,105,75.0
36,1,left,16000,15,105,70.0
36,0,left,22627,15,105,80.0
36,2,left,22627,15,105,80.0
36,1,left,22627,15,105,85.0
36,0,left,32000,15,105,85.0
36,2,left,32000,15,105,80.0
36,1,left,32000,15,105,90.0
36,2,left,45254,15,105,90.0
36,0,right,4000,15,105,50.0
36,2,right,4000,15,105,45.0
36,0,right,5656,15,105,50.0
36,2,right,5656,15,105,45.0
36,0,right,8000,15,105,50.0
36,2,right,8000,15,105,50.0
36,0,right,11313,15,105,60.0
36,2,right,11313,15,105,70.0
36,0,right,16000,15,105,65.0
36,2,right,16000,15,105,80.0
36,0,right,22627,15,105,80.0
36,2,right,22627,15,105,85.0
36,0,right,32000,15,105,90.0
36,2,right,32000,15,105,75.0
36,2,right,45254,15,105,85.0
37,0,left,4000,65,105,inf
37,0,left,5656,65,105,inf
37,0,left,8000,65,105,105.0
37,0,left,11313,65,105,inf
37,0,left,16000,65,105,inf
37,0,left,22627,65,105,100.0
37,0,left,32000,65,105,105.0
37,0,right,4000,65,105,inf
37,0,right,5656,65,105,inf
37,0,right,8000,65,105,105.0
37,0,right,11313,65,105,105.0
37,0,right,16000,65,105,105.0
37,0,right,22627,65,105,105.0
37,0,right,32000,65,105,105.0
38,0,left,4000,65,105,inf
38,1,left,4000,65,105,inf
38,2,left,4000,65,105,inf
38,3,left,4000,65,105,inf
38,0,left,5656,65,105,105.0
38,1,left,5656,65,105,inf
38,2,left,5656,65,105,100.0
38,3,left,5656,65,105,inf
38,0,left,8000,65,105,95.0
38,1,left,8000,65,105,100.0
38,2,left,8000,65,105,95.0
38,3,left,8000,65,105,inf
38,0,left,11313,65,105,95.0
38,1,left,11313,65,105,95.0
38,2,left,11313,65,105,95.0
38,3,left,11313,65,105,inf
38,0,left,16000,65,105,90.0
38,1,left,16000,65,105,90.0
38,2,left,16000,65,105,90.0
38,3,left,16000,65,105,95.0
38,0,left,22627,65,105,90.0
38,1,left,22627,65,105,90.0
38,2,left,22627,65,105,90.0
38,3,left,22627,65,105,105.0
38,0,left,32000,65,105,95.0
